"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
934	"free"	312	"Houzz Interior Design Ideas"	"https://www.appannie.com/apps/ios/app/houzz-interior-design-ideas/"	"2015-04-01 12:38:49.882997"	"2015-04-01 12:39:05.448204"
935	"paid"	312	"e-Sword LT: Bible Study on the Go"	"https://www.appannie.com/apps/ios/app/e-sword-lt-bible-study-on-the-go/"	"2015-04-01 12:38:49.890716"	"2015-04-01 12:39:05.456867"
936	"grossing"	312	"Fit Brains Trainer"	"https://www.appannie.com/apps/ios/app/fit-brains-trainer/"	"2015-04-01 12:38:49.898762"	"2015-04-01 12:39:05.463992"
937	"free"	313	"Airbnb"	"https://www.appannie.com/apps/ios/app/airbnb/"	"2015-04-01 12:38:49.906310"	"2015-04-01 12:39:05.471923"
938	"paid"	313	"Blue - Beautifully minimal weather forecast"	"https://www.appannie.com/apps/ios/app/blue-beautifully-minimal-weather-forecast/"	"2015-04-01 12:38:49.915357"	"2015-04-01 12:39:05.481135"
939	"grossing"	313	"Udemy Online Courses"	"https://www.appannie.com/apps/ios/app/udemy-online-courses/"	"2015-04-01 12:38:49.924354"	"2015-04-01 12:39:05.516954"
940	"free"	314	"MobileIron Mobile@Work™ Client"	"https://www.appannie.com/apps/ios/app/mobileiron-mobileworktm-client/"	"2015-04-01 12:38:49.933895"	"2015-04-01 12:39:05.525697"
941	"paid"	314	"1 Second Everyday"	"https://www.appannie.com/apps/ios/app/1-second-everyday/"	"2015-04-01 12:38:49.942704"	"2015-04-01 12:39:05.534085"
942	"grossing"	314	"Grepolis - Divine Strategy MMO"	"https://www.appannie.com/apps/ios/app/grepolis-divine-strategy-mmo/"	"2015-04-01 12:38:49.952584"	"2015-04-01 12:39:05.543823"
943	"free"	315	"Kohl's"	"https://www.appannie.com/apps/ios/app/kohls/"	"2015-04-01 12:38:49.961180"	"2015-04-01 12:39:05.553863"
944	"paid"	315	"MarineTraffic Ships  Wind"	"https://www.appannie.com/apps/ios/app/marinetraffic-ships-wind/"	"2015-04-01 12:38:49.971352"	"2015-04-01 12:39:05.562982"
945	"grossing"	315	"PAW Patrol Rescue Run"	"https://www.appannie.com/apps/ios/app/paw-patrol-rescue-run/"	"2015-04-01 12:38:49.980326"	"2015-04-01 12:39:05.573903"
946	"free"	316	"Lose It! – Weight Loss Program and Calorie Counter"	"https://www.appannie.com/apps/ios/app/lose-it-weight-loss-program-and-calorie-counter/"	"2015-04-01 12:38:49.990486"	"2015-04-01 12:39:05.583657"
947	"paid"	316	"Simply HDR"	"https://www.appannie.com/apps/ios/app/438948516/"	"2015-04-01 12:38:49.999443"	"2015-04-01 12:39:05.593388"
948	"grossing"	316	"UNO ™  Friends – The Classic Card Game Goes Social!"	"https://www.appannie.com/apps/ios/app/uno-friends-classic-card-game/"	"2015-04-01 12:38:50.008055"	"2015-04-01 12:39:05.605521"
949	"free"	317	"Lyft - Taxi  Bus App Alternative"	"https://www.appannie.com/apps/ios/app/lyft-taxi-bus-app-alternative/"	"2015-04-01 12:38:50.018511"	"2015-04-01 12:39:05.615345"
950	"paid"	317	"Surgeon Simulator"	"https://www.appannie.com/apps/ios/app/surgeon-simulator/"	"2015-04-01 12:38:50.027673"	"2015-04-01 12:39:05.624384"
951	"grossing"	317	"Bingo Pop"	"https://www.appannie.com/apps/ios/app/bingo-pop/"	"2015-04-01 12:38:50.036192"	"2015-04-01 12:39:05.633260"
