"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
157	"free"	53	"Dropbox"	"http://www.appannie.com/apps/ios/app/dropbox/"	"2015-03-31 17:34:19.747803"	"2015-03-31 17:34:23.906450"
158	"paid"	53	"5K Runner: 0 to 5K run training, Couch to 5K running, Pro"	"http://www.appannie.com/apps/ios/app/5k-runner-0-to-5k-run-training-couch-to-5k-running-pro/"	"2015-03-31 17:34:19.757684"	"2015-03-31 17:34:23.928209"
159	"grossing"	53	"Cooking Fever"	"http://www.appannie.com/apps/ios/app/cooking-fever/"	"2015-03-31 17:34:19.765318"	"2015-03-31 17:34:23.950162"
160	"free"	54	"Viber"	"http://www.appannie.com/apps/ios/app/viber/"	"2015-03-31 17:34:19.776381"	"2015-03-31 17:34:23.968819"
161	"paid"	54	"Papa's Freezeria To Go!"	"http://www.appannie.com/apps/ios/app/papas-freezeria-to-go!/"	"2015-03-31 17:34:19.786297"	"2015-03-31 17:34:23.983382"
162	"grossing"	54	"Clash of Kings - Last Empire"	"http://www.appannie.com/apps/ios/app/clash-of-kings-last-empire/"	"2015-03-31 17:34:19.797597"	"2015-03-31 17:34:23.996400"
163	"free"	55	"Musify - Free Music Streamer and Media Player for Jamendo®. Download Now!"	"http://www.appannie.com/apps/ios/app/musify-free-music-streamer/"	"2015-03-31 17:34:19.807531"	"2015-03-31 17:34:24.007430"
164	"paid"	55	"Scribblenauts Remix"	"http://www.appannie.com/apps/ios/app/scribblenauts-remix/"	"2015-03-31 17:34:19.819599"	"2015-03-31 17:34:24.017226"
165	"grossing"	55	"Heart of Vegas: Play Free Casino Slots!"	"http://www.appannie.com/apps/ios/app/heart-vegas-play-free-casino/"	"2015-03-31 17:34:19.828843"	"2015-03-31 17:34:24.025408"
166	"free"	56	"Despicable Me: Minion Rush"	"http://www.appannie.com/apps/ios/app/despicable-me-minion-rush/"	"2015-03-31 17:34:19.839478"	"2015-03-31 17:34:24.036681"
167	"paid"	56	"Grand Theft Auto: Vice City"	"http://www.appannie.com/apps/ios/app/578448682/"	"2015-03-31 17:34:19.850972"	"2015-03-31 17:34:24.045032"
